routeCode,origin,destination,distanceKm
RT001,IST,VIE,1224
RT002,TXL,OTP,1291
RT003,ZRH,NTE,766
RT004,MUC,OSL,1317
RT005,LAX,OAK,542
RT006,ASU,GIG,1473
RT007,CDG,BER,856
RT008,AMS,KRK,1073
RT009,BLQ,AMS,988
RT010,BOD,BRS,743
RT011,DCA,ATL,879
RT012,VIE,KBP,1067
RT013,LTN,DUB,433
RT014,ALC,STR,1398
RT015,ARN,EIN,1201
RT016,MXP,CGN,593
RT017,CPH,GLA,1067
RT018,LAX,ONT,75
RT019,TLL,KBP,1079
RT020,STR,VIE,546
RT021,BUD,BEG,302
RT022,BGY,FCO,476
RT023,WAW,AMS,1100
RT024,FCO,VIE,779
RT025,ZAG,STR,611
RT026,CPH,VCE,1124
RT027,BUD,BER,685
RT028,EVN,IST,1322
RT029,MUC,VLC,1388
RT030,EDI,MUC,1329
RT031,TUS,LAX,724
RT032,DUB,BRS,330
RT033,OTP,SAW,485
RT034,CNF,POA,1361
RT035,VLC,LJU,1426
RT036,VIE,TLL,1366
RT037,SOF,VNO,1334
RT038,BUD,CTA,1160
RT039,TXL,BGY,808
RT040,BER,GVA,866
RT041,SOF,NCE,1315
RT042,FCO,SJJ,545
RT043,JFK,PIT,545
RT044,BNE,MEL,1380
RT045,SAN,OAK,718
RT046,PKX,PEK,65
RT047,LGW,ARN,1474
RT048,NAP,ZRH,861
RT049,STR,BCN,994
RT050,DUS,ZRH,445
RT051,FRA,MRS,777
RT052,TLL,WAW,840
RT053,AMS,ZRH,603
RT054,OSL,RTM,1003
RT055,WAW,BRU,1146
RT056,BER,KRK,505
RT057,KMG,DAC,1275
RT058,HAM,MXP,894
RT059,STN,TLS,921
RT060,VIE,LTN,1277
RT061,CDG,LIN,644
RT062,BRS,BCN,1179
RT063,DEL,BOM,1137
RT064,BRS,GVA,862
RT065,GLA,RTM,724
RT066,IKA,KWI,750
RT067,CVG,DFW,1305
RT068,VNO,KBP,609
RT069,XIY,CGO,472
RT070,BOD,LIS,968
RT071,LIH,HNL,163
RT072,OTP,BUD,615
RT073,PRG,KRK,394
RT074,LHR,BUD,1488
RT075,LHE,DEL,419
RT076,AMS,BER,593
RT077,PDX,RNO,715
RT078,ATH,BEY,1134
RT079,DEN,SAN,1370
RT080,PRG,GLA,1400
RT081,EWR,IND,1034
RT082,BSL,CPH,959
RT083,LUN,JNB,1201
RT084,ARN,LHR,1462
RT085,TLL,VNO,532
RT086,BCN,SZG,1125
RT087,BGY,MUC,337
RT088,VCE,PRG,530
RT089,BWN,MNL,1255
RT090,LED,PRG,1478
RT091,HGH,FOC,483
RT092,CGO,ICN,1173
RT093,XIY,WUH,653
RT094,LIN,FRA,513
RT095,CAN,SHA,1175
RT096,PEK,CKG,1463
RT097,LED,WAW,1025
RT098,ORY,ALC,1184
RT099,DCA,BOS,641
RT100,LIN,BLQ,187
RT101,CMN,TLS,1379
RT102,DUS,AMS,178
RT103,DEN,PSP,1246
RT104,ABQ,OAK,1427
RT105,VIE,BER,520
RT106,CAI,TLV,390
RT107,MSP,CLT,1496
RT108,BOD,MAD,534
RT109,SZG,VLC,1421
RT110,TIA,MXP,1001
RT111,CDG,VLC,1085
